Method,Description,Best_Accuracy,Mean_Accuracy,Std_Accuracy,Best_Precision,Mean_Precision,Std_Precision,Best_Recall,Mean_Recall,Std_Recall,Best_F1,Mean_F1,Std_F1
Exp-A,Base (CE only),0.8288,0.7935523809523808,0.01565984096495296,0.7497,0.7108380952380953,0.02703054709380624,0.73,0.6744809523809524,0.030036438188434034,0.7381,0.6868761904761903,0.025176733401335142
Exp-B,w/o Env Params,0.7603,0.7243904761904763,0.022508440744794043,0.6834,0.6524095238095237,0.02956753125916848,0.6602,0.5977238095238097,0.02726624111904508,0.6644,0.6012666666666666,0.029333195075431747
Exp-C,CLIP Classify,0.8288,0.793547619047619,0.016111226491103005,0.7923,0.7206666666666667,0.031952297778615746,0.7265,0.6819809523809524,0.0250966455736144,0.7426,0.6876285714285716,0.02309322720749836
Exp-D,+ Physics,0.8219,0.7818047619047619,0.016951208694086558,0.794,0.7324047619047619,0.03777262866402703,0.7226,0.6531857142857144,0.03472197122448962,0.7435,0.6741,0.031173803104529937
Exp-E,+ Physics + CrossAttn + CLIP,0.8014,0.7560333333333332,0.02446285619737265,0.7665,0.6704000000000001,0.051617332360361284,0.7139,0.6358380952380952,0.05006619094948682,0.7322,0.6393714285714285,0.050177157580488185
Exp-F,Full (All Aux Losses),0.8425,0.811490476190476,0.022888685081539854,0.8129,0.7576666666666666,0.04799395100773985,0.7343,0.7085857142857144,0.041012026110816384,0.7617,0.7186333333333332,0.042060151370784844
Exp-G,Exp-G,0.863,0.7889809523809522,0.04639357303601028,0.8193,0.7218238095238095,0.09367250879933721,0.7968,0.6603428571428571,0.06829013524242407,0.8024,0.6676095238095239,0.08034693463201882
Exp-H,Exp-H,0.8425,0.802347619047619,0.027257138863931035,0.8123,0.769047619047619,0.035587885846838654,0.7639,0.6932380952380952,0.05065585332605184,0.7791,0.6995714285714285,0.058295318361401394
Exp-I,Exp-I,0.8356,0.8157333333333332,0.013337366056809461,0.7963,0.765747619047619,0.022684325404287844,0.7591,0.7177857142857142,0.024994885191060297,0.7554,0.7266857142857143,0.021559737607732738
Exp-J,Exp-J,0.8493,0.8134428571428571,0.0399910186345456,0.8421,0.7682190476190476,0.0786245293725032,0.767,0.7009904761904762,0.06189139604793145,0.799,0.7217380952380952,0.06996719571478105
