Method,TP,Best Epoch,Best_Accuracy,Best_Precision,Best_Recall,Best_F1,Mean_Accuracy,Std_Accuracy,CI_lo_Accuracy,CI_hi_Accuracy,Mean_Precision,Std_Precision,CI_lo_Precision,CI_hi_Precision,Mean_Recall,Std_Recall,CI_lo_Recall,CI_hi_Recall,Mean_F1,Std_F1,CI_lo_F1,CI_hi_F1
SVM,2,,0.7891,0.8287,0.6886,0.7321,,,,,,,,,,,,,,,,
RF,2,,0.8027,0.8056,0.7191,0.7374,,,,,,,,,,,,,,,,
LSTM,2,60.0,0.8095,0.777,0.7082,0.7256,0.78366,0.03250118630313532,0.7619,0.79998,0.72522,0.02524157945401464,0.71133,0.74093,0.6925000000000001,0.03828861159375954,0.6662397499999999,0.7100105,0.6939200000000001,0.03973813729348112,0.6669189999999999,0.71241
Transformer,2,40.0,0.7891,0.7775,0.7029,0.729,0.7639400000000001,0.0212752960548666,0.7510200000000001,0.77618,0.7205999999999999,0.026169023248447342,0.7063597500000001,0.7367102500000001,0.68872,0.03180862217142459,0.66909925,0.70556025,0.69191,0.028980738814292167,0.67445,0.7076499999999999
Exp-A,2,110.0,0.8082,0.7261,0.7034,0.7072,0.7276571428571427,0.08829669060292449,0.6888428571428573,0.7619047619047619,0.6012238095238095,0.19928671281538546,0.5121836904761906,0.6775285714285714,0.5891571428571428,0.14815476560485177,0.5224504761904761,0.6450383333333334,0.5792761904761905,0.17547085770794507,0.5008941666666668,0.6462811904761905
Exp-B,2,110.0,0.6986,0.6924,0.6144,0.6198,0.6722000000000002,0.0423513163904028,0.6532857142857145,0.688509523809524,0.5703999999999999,0.11307250328881907,0.5189119047619049,0.6133041666666667,0.5300761904761904,0.07933182151420642,0.49403297619047615,0.5594433333333333,0.5286714285714285,0.09995928242468101,0.4831607142857143,0.5652675
Exp-C,2,500.0,0.8356,0.8213,0.7533,0.7735,0.7994190476190475,0.013374551171819536,0.793880833333333,0.8052904761904761,0.7544857142857143,0.03234265427750614,0.7409991666666668,0.7678622619047619,0.7093952380952382,0.020730472165160066,0.700695,0.7181954761904761,0.7143047619047619,0.021192250380515892,0.7058711904761904,0.7236623809523809
Exp-D,2,440.0,0.8493,0.8566,0.767,0.7948,0.8193095238095237,0.02171395645113771,0.8101714285714285,0.8281238095238095,0.7986285714285712,0.029280507899576178,0.7869513095238095,0.8110003571428571,0.7231095238095239,0.03013710179764977,0.7104476190476191,0.7357571428571428,0.7449619047619048,0.02700906285287358,0.7340522619047617,0.7563107142857143
Exp-E,2,370.0,0.8014,0.7537,0.7101,0.7113,0.7527761904761906,0.02823000008434123,0.7407142857142859,0.7645142857142857,0.7088999999999999,0.04287008280841081,0.6908853571428571,0.7260380952380953,0.6487142857142858,0.03922562027188716,0.6321758333333334,0.6650336904761905,0.6410619047619048,0.040927075099382274,0.6238854761904762,0.6581436904761905
Exp-F,2,160.0,0.8082,0.7398,0.7055,0.7083,0.7446190476190475,0.06286598936664896,0.7155952380952382,0.7677809523809523,0.6701380952380953,0.061623392280776595,0.6430421428571429,0.6941672619047619,0.6446000000000001,0.044098979580031096,0.6257283333333333,0.6631813095238096,0.6377476190476189,0.056458627498794364,0.6132042857142856,0.6603583333333333
SVM,3,,0.7755,0.7569,0.6627,0.6857,,,,,,,,,,,,,,,,
RF,3,,0.7959,0.7995,0.7043,0.7386,,,,,,,,,,,,,,,,
LSTM,3,90.0,0.8231,0.7574,0.7511,0.7508,0.77278,0.03699599978376043,0.74966,0.79386,0.70441,0.03258586776161988,0.68624975,0.72447,0.6888500000000001,0.04790233698775967,0.6582785,0.71544025,0.68338,0.050829973659468126,0.6515184999999999,0.7120507500000001
Transformer,3,70.0,0.8367,0.8081,0.7803,0.7868,0.7639400000000001,0.035122363878936795,0.74422,0.7857000000000001,0.72672,0.03547471086719541,0.70787875,0.7495910000000001,0.67683,0.05376851722378483,0.6461990000000001,0.70984,0.68312,0.0493208272436706,0.6553077500000001,0.71403125
Exp-A,3,610.0,0.8288,0.7497,0.73,0.7381,0.7935523809523808,0.01565984096495296,0.7870333333333333,0.8004,0.7108380952380953,0.02703054709380624,0.6998332142857142,0.7227097619047619,0.6744809523809524,0.030036438188434034,0.6615857142857143,0.6871096428571428,0.6868761904761903,0.025176733401335142,0.6763189285714285,0.6977810714285715
