Method A,Method B,TP,Acc A,Acc B,n_common,McNemar b,McNemar c,McNemar p,McNemar sig,Bootstrap p,Bootstrap sig,Bootstrap CI
Exp-A,Exp-B,2,0.7671,0.7192,146,16,9,0.23013934044341644,n.s.,0.5383,n.s.,"[-0.0137, 0.1164]"
Exp-A,Exp-C,2,0.7671,0.7877,146,11,14,0.6891565167793516,n.s.,0.5756,n.s.,"[-0.0890, 0.0479]"
Exp-A,Exp-D,2,0.7671,0.7945,146,6,10,0.454498291015625,n.s.,0.5777,n.s.,"[-0.0822, 0.0274]"
Exp-A,Exp-E,2,0.7671,0.7329,146,13,8,0.38331031799316406,n.s.,0.5573,n.s.,"[-0.0274, 0.0959]"
Exp-A,Exp-F,2,0.7671,0.8151,146,7,14,0.18924713134765625,n.s.,0.4814,n.s.,"[-0.1096, 0.0137]"
Exp-A,LSTM,2,0.7671,0.8095,18,2,3,1.0,n.s.,0.7446,n.s.,"[-0.2778, 0.1667]"
Exp-A,RF,2,0.7671,0.8027,18,1,2,1.0,n.s.,0.695,n.s.,"[-0.2222, 0.1111]"
Exp-A,SVM,2,0.7671,0.7891,18,2,2,1.0,n.s.,1.0,n.s.,"[-0.2222, 0.2222]"
Exp-A,Transformer,2,0.7671,0.7483,18,4,3,1.0,n.s.,0.8082,n.s.,"[-0.2222, 0.3333]"
Exp-B,Exp-C,2,0.7192,0.7877,146,10,20,0.10034824646229057,n.s.,0.4979,n.s.,"[-0.1370, 0.0068]"
Exp-B,Exp-D,2,0.7192,0.7945,146,7,18,0.04550026389635853,*,0.5376,n.s.,"[-0.1438, -0.0137]"
Exp-B,Exp-E,2,0.7192,0.7329,146,12,14,0.8445192674729399,n.s.,0.7104,n.s.,"[-0.0822, 0.0548]"
Exp-B,Exp-F,2,0.7192,0.8151,146,8,22,0.017622090962324366,*,0.4923,n.s.,"[-0.1712, -0.0274]"
Exp-B,LSTM,2,0.7192,0.8095,18,1,4,0.375,n.s.,0.4527,n.s.,"[-0.3889, 0.0556]"
Exp-B,RF,2,0.7192,0.8027,18,0,3,0.25,n.s.,0.4229,n.s.,"[-0.3333, 0.0000]"
Exp-B,SVM,2,0.7192,0.7891,18,1,3,0.625,n.s.,0.5219,n.s.,"[-0.3333, 0.1111]"
Exp-B,Transformer,2,0.7192,0.7483,18,4,5,1.0,n.s.,0.8158,n.s.,"[-0.3889, 0.2778]"
Exp-C,Exp-D,2,0.7877,0.7945,146,11,12,1.0,n.s.,0.9188,n.s.,"[-0.0685, 0.0548]"
Exp-C,Exp-E,2,0.7877,0.7329,146,16,8,0.15158963203430176,n.s.,0.5371,n.s.,"[-0.0137, 0.1164]"
Exp-C,Exp-F,2,0.7877,0.8151,146,10,14,0.5412561893463135,n.s.,0.6061,n.s.,"[-0.0959, 0.0342]"
Exp-C,LSTM,2,0.7877,0.8095,18,2,3,1.0,n.s.,0.7471,n.s.,"[-0.2778, 0.1667]"
Exp-C,RF,2,0.7877,0.8027,18,1,2,1.0,n.s.,0.6824,n.s.,"[-0.2222, 0.1111]"
Exp-C,SVM,2,0.7877,0.7891,18,2,2,1.0,n.s.,1.0,n.s.,"[-0.2222, 0.2222]"
Exp-C,Transformer,2,0.7877,0.7483,18,4,3,1.0,n.s.,0.8114,n.s.,"[-0.2222, 0.3333]"
Exp-D,Exp-E,2,0.7945,0.7329,146,16,7,0.0931396484375,n.s.,0.5427,n.s.,"[0.0000, 0.1233]"
Exp-D,Exp-F,2,0.7945,0.8151,146,9,12,0.6636238098144531,n.s.,0.5631,n.s.,"[-0.0822, 0.0411]"
Exp-D,LSTM,2,0.7945,0.8095,18,1,3,0.625,n.s.,0.5125,n.s.,"[-0.3333, 0.1111]"
Exp-D,RF,2,0.7945,0.8027,18,0,2,0.5,n.s.,0.4615,n.s.,"[-0.2778, 0.0000]"
Exp-D,SVM,2,0.7945,0.7891,18,1,2,1.0,n.s.,0.7107,n.s.,"[-0.2222, 0.1111]"
Exp-D,Transformer,2,0.7945,0.7483,18,3,3,1.0,n.s.,1.0,n.s.,"[-0.2778, 0.2778]"
Exp-E,Exp-F,2,0.7329,0.8151,146,8,20,0.03763531378731433,*,0.5366,n.s.,"[-0.1507, -0.0137]"
Exp-E,LSTM,2,0.7329,0.8095,18,1,2,1.0,n.s.,0.6994,n.s.,"[-0.2778, 0.1111]"
