Method,TP,F1_Mean,F1_Std,F1_CI_lo,F1_CI_hi,F1_Max,Window
LSTM,2,0.6939200000000001,0.03973813729348112,0.6669189999999999,0.71241,0.7256,10-100 (n=10)
Transformer,2,0.69191,0.028980738814292167,0.67445,0.7076499999999999,0.729,10-100 (n=10)
Exp-A,2,0.5792761904761905,0.17547085770794507,0.5008941666666668,0.6462811904761905,0.7072,10-210 (n=21)
Exp-B,2,0.5286714285714285,0.09995928242468101,0.4831607142857143,0.5652675,0.6198,10-210 (n=21)
Exp-C,2,0.7143047619047619,0.021192250380515892,0.7058711904761904,0.7236623809523809,0.7735,400-600 (n=21)
Exp-D,2,0.7449619047619048,0.02700906285287358,0.7340522619047617,0.7563107142857143,0.7948,340-540 (n=21)
Exp-E,2,0.6410619047619048,0.040927075099382274,0.6238854761904762,0.6581436904761905,0.7113,270-470 (n=21)
Exp-F,2,0.6377476190476189,0.056458627498794364,0.6132042857142856,0.6603583333333333,0.7083,60-260 (n=21)
LSTM,3,0.68338,0.050829973659468126,0.6515184999999999,0.7120507500000001,0.7508,10-100 (n=10)
Transformer,3,0.68312,0.0493208272436706,0.6553077500000001,0.71403125,0.7868,10-100 (n=10)
Exp-A,3,0.6868761904761903,0.025176733401335142,0.6763189285714285,0.6977810714285715,0.7381,510-710 (n=21)
Exp-B,3,0.6012666666666666,0.029333195075431747,0.5892094047619048,0.6135859523809524,0.6644,70-270 (n=21)
Exp-C,3,0.6876285714285716,0.02309322720749836,0.6782238095238096,0.6974002380952379,0.7426,360-560 (n=21)
Exp-D,3,0.6741,0.031173803104529937,0.6614140476190477,0.687404880952381,0.7435,550-750 (n=21)
Exp-E,3,0.6393714285714285,0.050177157580488185,0.6187571428571429,0.6599714285714287,0.7322,500-700 (n=21)
Exp-F,3,0.7186333333333332,0.042060151370784844,0.6995566666666666,0.735052619047619,0.7617,100-300 (n=21)
Exp-G,3,0.6676095238095239,0.08034693463201882,0.6335846428571429,0.7001194047619047,0.8024,40-240 (n=21)
Exp-H,3,0.6995714285714285,0.058295318361401394,0.6750809523809523,0.7236147619047619,0.7791,160-360 (n=21)
Exp-I,3,0.7266857142857143,0.021559737607732738,0.7175665476190476,0.7354810714285714,0.7554,130-330 (n=21)
Exp-J,3,0.7217380952380952,0.06996719571478105,0.6904998809523808,0.7485670238095238,0.799,80-280 (n=21)
LSTM,4,0.7036199999999999,0.04640550254729138,0.67403,0.7285309999999999,0.7549,10-100 (n=10)
Transformer,4,0.6856099999999999,0.03296811422504411,0.667079,0.70504025,0.7371,10-100 (n=10)
Exp-A,4,0.6446761904761905,0.02719534711604,0.6333280952380952,0.6559241666666668,0.7055,230-430 (n=21)
Exp-B,4,0.5599047619047619,0.050002874679266944,0.5383904761904763,0.5801382142857142,0.6567,170-370 (n=21)
Exp-C,4,0.6523666666666668,0.025757646113985903,0.6416475,0.6631051190476192,0.7004,350-550 (n=21)
Exp-D,4,0.7225476190476191,0.04143594597746767,0.7048377380952381,0.7395190476190476,0.8053,510-710 (n=21)
Exp-E,4,0.6170380952380954,0.03319202428582018,0.6029803571428571,0.630647619047619,0.6764,210-410 (n=21)
Exp-F,4,0.6664904761904761,0.03965682671069265,0.6500710714285715,0.6831334523809522,0.7509,110-310 (n=21)
